,id,AreaHa,PrimaryUse,geometry,lon,lat,nodes
172,172,5.8114,Canal,POINT (530294.9740855958 183481.77188017676),-0.12279454130507662,51.53521438840744,168064
173,173,5.8114,Canal,POINT (529982.1390105002 183484.57407398213),-0.12730138076032188,51.53531160265636,2213538538
174,174,5.8114,Canal,POINT (529843.2417132342 183671.50061210053),-0.12923395894307713,51.53702340835766,87544185
175,175,0.3368,Canal,POINT (531699.075806481 183296.00306180748),-0.10263143801003081,51.533219410145996,7650792278
176,176,0.3368,Canal,POINT (531840.859239636 183256.0084231116),-0.10060345445143971,51.53282691652036,1670708072
177,177,0.3368,Canal,POINT (531784.3373964062 183265.7672430032),-0.10141421939182076,51.53292781019882,1670708083
178,178,1.2248,Canal,POINT (533214.0977076218 183742.7293575944),-0.08063276679047791,51.53687841457024,34226047
179,179,1.2248,Canal,POINT (533319.0238588464 183727.30080681102),-0.07912662336974706,51.5367149787834,108584
180,180,1.2248,Canal,POINT (533381.3765563836 183823.65113765025),-0.0781916435752157,51.53756607163868,8089293096
181,181,1.2248,Canal,POINT (533430.8244514748 183702.86208196808),-0.07752484396891571,51.536468930037934,108569
182,182,0.5921,Canal,POINT (533013.9623840605 183804.01258131748),-0.08349357345465107,51.53747635887199,49500578
183,183,0.5921,Canal,POINT (532991.3449845323 183790.0314088386),-0.0838247735129513,51.5373560521186,49500578
184,184,0.8153,Canal,POINT (532202.108352179 183189.80380174413),-0.09542312381883401,51.5321474979335,4542203029
185,185,0.8153,Canal,POINT (532252.2690476343 183066.37509694177),-0.09474671405207538,51.53102655037993,412849561
186,186,8.195,Canal,POINT (532876.6098717782 187832.02582233946),-0.08395317222603783,51.57370613008372,460947777
187,187,8.195,Canal,POINT (532860.6703594283 187800.88627093576),-0.08419479644017236,51.57343005470893,460947777
188,188,8.195,Canal,POINT (532647.6325516067 187930.8017891352),-0.08721809517879767,51.57464770865973,5880265773
189,189,8.195,Canal,POINT (532668.0929862357 187902.65714231902),-0.0869336333427868,51.57438997330681,220882
190,190,8.195,Canal,POINT (532109.3826112645 187790.64554749476),-0.09503315909178588,51.573514608157645,2494281007
191,191,8.195,Canal,POINT (531918.5802385574 187789.8882754214),-0.09778506497311178,51.57355248845557,802257766
192,192,8.195,Canal,POINT (532545.1301248869 187883.24236852507),-0.08871425630604884,51.57424443065457,220882
193,193,8.195,Canal,POINT (530521.1407496876 189917.87651060117),-0.11714828241926349,51.59300087255299,38876108
194,194,8.195,Canal,POINT (530591.4275334629 191572.86007981503),-0.1155189528327069,51.60785699824337,38429268
195,195,8.195,Canal,POINT (531204.7213891647 188960.93448317752),-0.1076430588207323,51.584242622352384,220896
